Here’s the list in lowercase and inline:

date, year, territorial authority, territorial_authority_grouped, region, gmp, venues, gaming machines, dep_very_low (1-2), dep_medium_low (3-4), dep_medium (5-6), dep_medium_high (7-8), dep_high (9-10)
1/12/2022,2022,Auckland Council - Devonport - Takapuna,Auckland City,Auckland,1190799.82,7,110,3,3,1,0,0
1/12/2022,2022,Auckland Council - Franklin,Auckland City,Auckland,3104533.75,15,211,3,1,6,0,5
1/12/2022,2022,Auckland Council - Henderson - Massey,Auckland City,Auckland,6224113.6,12,194,0,0,0,6,6
1/12/2022,2022,Auckland Council - Hibiscus And Bays,Auckland City,Auckland,3436469.24,12,177,1,6,3,1,1
1/12/2022,2022,Auckland Council - Howick,Auckland City,Auckland,8842096.78,18,297,5,3,9,0,1
1/12/2022,2022,Auckland Council - Kaipatiki,Auckland City,Auckland,5604629.54,14,211,5,1,8,0,0
1/12/2022,2022,Auckland Council - Mangere - Otahuhu,Auckland City,Auckland,7106464.13,11,198,0,0,0,2,9
1/12/2022,2022,Auckland Council - Manurewa,Auckland City,Auckland,5669466.93,11,162,0,0,1,0,10
1/12/2022,2022,Auckland Council - Maungakiekie - Tamaki,Auckland City,Auckland,5883878.16,15,232,0,0,4,10,1
1/12/2022,2022,Auckland Council - Orakei,Auckland City,Auckland,1267348.12,6,69,3,2,0,1,0
1/12/2022,2022,Auckland Council - Otara - Papatoetoe,Auckland City,Auckland,8284442.91,17,254,0,0,0,7,10
1/12/2022,2022,Auckland Council - Papakura,Auckland City,Auckland,4187674.54,12,180,0,2,1,0,9
1/12/2022,2022,Auckland Council - Puketapapa,Auckland City,Auckland,1072599.08,2,27,0,1,1,0,0
1/12/2022,2022,Auckland Council - Rodney,Auckland City,Auckland,1688882.39,9,128,2,0,5,2,0
1/12/2022,2022,Auckland Council - Upper Harbour,Auckland City,Auckland,2687022.21,11,133,2,1,4,4,0
1/12/2022,2022,Auckland Council - Waiheke,Auckland City,Auckland,202862.57,2,18,0,0,2,0,0
1/12/2022,2022,Auckland Council - Waitakere Ranges,Auckland City,Auckland,1870212.82,7,82,1,0,1,5,0
1/12/2022,2022,Auckland Council - Waitemata,Auckland City,Auckland,4202794.65,16,213,1,6,4,5,0
1/12/2022,2022,Auckland Council - Whau,Auckland City,Auckland,3586229.64,10,142,0,0,1,8,1
1/12/2022,2022,Buller District,Buller District,West Coast,702337.09,8,72,0,0,0,0,8
1/12/2022,2022,Carterton District,Carterton District,Wellington,442558.85,2,27,0,0,2,0,0
1/12/2022,2022,Central Hawke'S Bay District,Central Hawke's Bay District,Hawke's Bay,638830.16,2,36,0,0,0,2,0
1/12/2022,2022,Central Otago District,Central Otago District,Otago,1208617.94,10,112,1,9,0,0,0
1/12/2022,2022,Chatham Islands District,Chatham Islands District,Canterbury,6950.48,1,2,0,0,0,1,0
1/12/2022,2022,Christchurch City Including Banks Peninsula Ward,Christchurch City,Canterbury,23985298.69,79,1281,6,15,24,26,8
1/12/2022,2022,Clutha District,Clutha District,Otago,545245.73,10,71,0,2,5,3,0
1/12/2022,2022,Dunedin City,Dunedin City,Otago,4973989.57,27,384,0,1,4,14,8
1/12/2022,2022,Far North District,Far North District,Northland,4817002.95,19,275,0,0,1,2,16
1/12/2022,2022,Gisborne District,Gisborne District,Gisborne,3386474.23,11,159,0,0,0,0,11
1/12/2022,2022,Gore District,Gore District,Southland,926497.98,6,76,0,1,0,4,1
1/12/2022,2022,Grey District,Grey District,West Coast,1048067.62,8,81,1,0,1,4,2
1/12/2022,2022,Hamilton City,Hamilton City,Waikato,7380427.13,24,376,0,1,3,5,15
1/12/2022,2022,Hastings District,Hastings District,Hawke's Bay,5230710.73,17,273,2,0,2,6,7
1/12/2022,2022,Hauraki District,Hauraki District,Waikato,1701012.97,9,119,0,0,0,1,8
1/12/2022,2022,Horowhenua District,Horowhenua District,Manawatu-Wanganui,2618313.64,8,139,0,0,0,0,8
1/12/2022,2022,Hurunui District,Hurunui District (June 2019 incd. Kaikoura),Canterbury,769236.5,9,73,0,4,5,0,0
1/12/2022,2022,Invercargill City,Invercargill City,Southland,4715706.56,15,226,0,0,1,6,8
1/12/2022,2022,Kaipara District,Kaipara District,Northland,716021.07,6,55,0,0,2,1,3
1/12/2022,2022,Kapiti Coast District,Kapiti Coast District,Wellington,2765709.9,11,184,1,2,3,1,4
1/12/2022,2022,Kawerau District,Kawerau District,Bay of Plenty,822838.36,3,45,0,0,0,0,3
1/12/2022,2022,Lower Hutt City,Lower Hutt City,Wellington,8852617.81,27,424,2,1,13,5,6
1/12/2022,2022,Mackenzie District,Mackenzie District,Canterbury,303637.88,4,36,0,4,0,0,0
1/12/2022,2022,Manawatu District,Manawatu District,Manawatu-Wanganui,1282828.85,5,81,0,0,1,0,4
